"","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035","S036","S037","S038","S039","S040","S041","S042","S043","S044","S045","S046","S047","S048","S049","S050","S051","S052","S053","S054","S055","S056","S057","S058","S059","S060","S061","S062","S063","S064","S065","S066","S067","S068","S069","S070","S071","S072","S073","S074","S075","S076","S077","S078","S079","S080","S081","S082","S083","S084","S085","S086","S087","S088","S089","S090","S091","S092","S093","S094","S095","S096","S097","S098","S099","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"Gene41642",8,5,19,8,18,6,10,2,9,19,7,10,17,16,13,6,1,16,8,11,5,27,5,3,14,9,12,10,15,11,10,5,14,14,11,5,4,10,10,8,9,9,7,9,11,2,12,8,9,12,6,14,15,2,15,11,7,6,5,3,10,7,4,16,14,4,7,12,4,7,3,6,2,4,14,10,6,16,10,10,10,8,14,9,3,7,14,8,9,12,15,10,6,6,8,12,4,8,5,4,4,14,3,4,6,5,12,5,2,6,0,7,9,5,7,8,7,3,3,5
"Gene41643",4,10,9,2,6,9,20,13,11,7,7,5,9,8,13,19,17,9,7,14,5,12,13,14,1,10,17,17,16,12,9,10,2,7,12,9,9,10,6,7,15,3,15,9,11,11,5,4,10,5,8,8,14,6,12,14,6,15,1,6,6,12,12,21,8,14,8,4,16,2,9,14,7,9,24,13,7,16,17,19,23,21,18,26,5,8,7,20,11,6,7,10,9,19,7,13,3,10,3,13,4,13,2,14,16,7,24,8,8,13,18,19,11,12,16,8,12,12,19,9
"Gene41644",0,2,3,4,2,2,2,2,4,0,1,2,5,2,0,2,2,3,0,1,1,2,2,1,1,1,2,3,0,4,2,4,3,4,5,2,1,5,1,2,2,2,0,1,1,2,2,2,0,1,1,0,3,1,0,7,0,0,0,0,0,3,1,1,5,1,4,1,1,3,1,2,2,0,5,4,1,2,4,0,2,1,1,5,2,4,3,3,1,0,2,3,4,2,1,5,3,4,2,1,2,4,3,4,5,6,3,2,4,4,5,1,1,5,5,6,1,8,0,4
"Gene41645",2,0,1,0,2,1,2,4,1,0,3,1,1,2,0,1,0,0,0,2,0,4,4,0,2,1,4,0,0,0,3,3,0,1,4,0,1,6,1,1,2,5,2,2,0,1,1,2,3,0,1,3,3,1,3,1,0,2,0,4,2,1,0,3,1,0,2,2,1,4,1,1,3,4,10,5,3,4,6,2,4,1,2,2,4,2,5,6,2,8,0,1,3,2,3,3,0,1,1,2,0,1,3,1,1,0,2,0,1,1,3,1,0,2,1,1,3,3,2,2
"Gene41646",15,12,7,3,4,6,1,4,2,3,4,8,3,4,3,2,7,3,3,1,4,4,9,1,13,2,5,6,3,7,7,9,10,1,4,3,5,1,5,3,3,5,6,3,6,8,9,4,13,3,2,5,3,7,5,4,7,3,0,4,8,11,3,3,10,7,1,6,11,4,3,11,4,5,7,3,2,12,14,3,12,4,7,2,2,2,9,4,3,4,12,17,7,11,6,7,15,8,7,7,6,7,10,10,3,7,19,6,5,4,0,15,2,17,10,4,6,16,6,8
"Gene41647",9,8,5,7,5,5,14,11,0,3,3,3,13,8,6,15,12,5,5,6,6,6,9,3,5,5,3,4,7,6,8,6,15,6,10,10,4,12,8,5,7,9,10,10,4,5,6,5,7,5,3,10,5,6,10,9,2,5,2,1,5,5,2,5,1,5,4,2,5,5,0,4,6,2,4,4,4,7,4,5,5,4,1,16,5,2,14,1,1,4,5,3,1,6,5,2,1,6,10,4,2,4,8,4,3,4,9,5,6,8,3,10,2,11,5,1,8,4,5,4
"Gene41648",4,3,6,1,0,3,0,3,1,0,3,2,1,4,3,1,4,2,2,4,4,1,2,6,0,2,2,2,1,3,0,1,3,3,3,1,1,3,2,3,1,1,3,4,1,2,5,2,0,4,4,2,1,0,2,0,0,3,1,1,1,1,1,1,3,4,0,4,3,1,5,3,4,4,2,4,3,2,1,1,5,3,3,4,1,1,0,3,1,3,0,1,0,1,0,1,1,1,1,0,1,1,0,1,2,1,3,1,2,0,1,0,0,5,3,0,1,0,0,1
"Gene41649",3,5,4,2,1,3,4,2,0,1,3,4,2,1,4,0,1,0,0,5,0,2,2,0,3,1,3,4,4,4,0,2,3,0,2,0,0,7,0,1,4,2,2,3,3,1,2,2,2,1,0,0,5,2,6,3,1,0,0,0,1,0,0,0,4,1,2,2,2,1,1,1,2,2,4,1,1,1,0,4,1,4,1,3,2,0,2,0,1,3,1,0,0,0,2,3,1,1,2,1,2,2,1,2,1,0,5,2,2,1,4,2,0,3,0,3,2,7,2,3
"Gene41650",2,0,1,2,2,1,1,2,0,1,0,0,1,1,1,1,1,1,1,1,3,0,3,0,2,0,1,2,4,2,1,1,3,0,3,0,1,2,1,3,2,1,1,1,1,1,2,1,0,0,0,1,3,3,0,4,0,2,2,1,0,0,0,3,2,0,1,1,2,2,0,1,0,2,1,3,1,2,2,2,3,0,1,4,4,1,0,2,0,3,0,1,0,0,1,9,2,1,3,1,2,0,0,2,1,0,0,0,3,2,1,0,1,1,3,1,1,0,0,0
"Gene41651",5,2,1,9,5,4,1,4,3,2,2,1,5,3,6,1,4,1,2,2,6,3,5,7,6,7,10,6,2,7,7,9,4,2,3,1,2,7,3,2,3,2,4,4,4,3,6,5,3,1,1,0,10,3,1,6,2,4,2,8,4,8,8,1,4,3,8,8,4,3,4,7,5,3,9,8,5,11,8,1,11,3,4,6,1,6,8,5,6,4,6,3,4,5,5,11,5,2,8,2,5,3,9,16,11,4,5,2,2,5,9,11,3,11,1,2,15,6,3,7
"Gene41652",11,4,5,9,1,2,12,5,0,5,4,3,2,7,10,1,1,5,6,7,5,6,5,6,1,0,9,15,1,8,10,8,9,2,10,6,4,2,3,6,5,9,6,7,3,6,11,8,3,9,2,6,14,1,3,2,1,4,3,8,4,7,2,0,5,2,1,3,2,2,1,0,0,2,1,4,2,10,3,3,5,3,7,0,4,1,1,0,2,7,7,6,4,2,8,9,2,8,13,5,5,4,5,11,6,3,3,1,7,3,8,13,5,3,4,5,3,7,8,6
"Gene41653",0,4,8,3,18,0,11,4,5,0,13,10,8,4,9,4,1,4,7,2,9,2,9,2,11,0,6,3,5,6,9,1,14,1,7,1,4,6,6,6,10,4,8,6,10,4,16,2,5,3,0,7,7,2,3,4,11,6,9,4,8,3,3,4,12,1,7,3,4,4,0,6,3,2,8,4,2,4,0,0,12,4,3,4,4,3,5,1,4,4,5,3,3,7,4,2,6,0,6,1,0,1,10,4,6,1,10,2,8,1,0,5,6,0,8,1,5,6,6,1
"Gene41654",5,4,5,3,5,4,16,9,3,7,4,1,5,4,8,8,5,7,8,5,2,10,15,4,6,1,5,7,8,10,4,5,7,3,9,2,0,4,3,3,5,5,8,11,4,4,7,2,13,3,1,6,5,1,1,5,0,6,6,3,10,14,6,14,7,8,5,13,2,5,1,4,4,11,13,13,4,10,6,6,12,4,10,11,3,3,18,9,5,10,5,6,4,3,10,12,13,5,10,3,7,1,7,4,7,7,6,2,6,5,8,9,6,7,3,7,6,10,6,6
"Gene41655",2,2,0,0,1,0,1,1,1,1,0,0,4,0,3,1,0,0,3,1,0,1,2,1,1,4,1,2,2,1,0,0,3,0,2,0,2,0,1,2,1,2,2,1,0,1,1,2,0,0,0,2,0,0,1,2,0,0,0,1,1,1,0,2,2,0,0,0,0,0,2,0,0,1,1,1,1,0,2,0,1,0,0,0,1,3,1,1,6,0,0,2,0,0,0,0,2,2,0,0,2,1,0,2,0,4,1,0,2,0,1,0,0,0,0,1,1,2,2,2
"Gene41656",10,11,14,16,9,2,8,6,12,9,9,12,11,6,11,8,12,10,9,6,13,12,6,8,11,17,13,15,16,11,9,6,5,8,12,14,8,12,7,6,8,8,8,14,8,14,12,12,17,6,8,8,3,5,5,9,5,16,6,11,5,14,8,3,9,11,4,11,6,7,3,4,5,12,8,3,5,2,8,2,14,8,5,10,4,10,8,6,3,6,8,6,8,8,11,9,23,5,2,6,6,8,4,13,7,8,14,11,6,10,0,13,3,5,14,11,7,11,4,15
"Gene41657",6,4,1,6,4,2,6,5,1,4,2,1,2,3,5,3,5,2,5,6,6,4,2,3,4,0,6,2,3,10,5,9,10,5,2,6,5,7,3,6,2,6,7,6,6,5,7,3,3,8,8,4,5,4,5,6,4,3,4,4,15,10,5,8,10,8,10,7,9,5,3,9,11,14,10,12,11,15,10,7,9,16,4,9,7,3,10,3,5,13,3,3,2,12,2,14,7,6,4,4,4,7,8,7,2,6,14,5,8,12,6,6,6,8,7,15,2,6,4,7
"Gene41658",5,1,0,2,1,4,1,0,0,1,0,1,1,1,0,2,2,1,1,1,1,1,0,1,1,1,1,0,3,1,1,0,3,1,1,1,1,2,0,0,0,0,0,1,2,0,0,2,2,1,1,2,0,2,1,1,1,0,0,2,0,1,3,1,1,0,2,1,2,1,1,1,4,3,2,0,1,1,0,1,5,0,5,3,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,1,0,0,0,1,0,1,0,2,0,0,1,0,1,3,0,0
"Gene41659",5,3,5,3,5,8,15,6,6,3,2,8,8,8,3,5,8,3,2,6,1,2,7,4,16,11,5,2,8,7,8,11,20,4,19,2,8,10,8,8,7,9,11,18,15,11,15,14,8,6,12,7,9,7,7,12,5,12,10,8,9,7,13,7,12,4,8,5,8,5,3,2,3,11,5,4,7,6,13,16,11,7,7,10,7,4,11,5,10,18,7,25,3,2,8,14,1,16,7,5,3,1,4,17,10,9,17,14,10,7,7,7,7,1,14,18,10,5,6,9
"Gene41660",17,12,12,4,8,0,9,10,7,13,11,12,16,24,26,10,12,4,18,16,11,14,17,8,18,10,11,8,7,18,4,17,15,9,6,17,6,11,13,12,15,19,14,15,26,9,11,12,3,10,10,3,9,14,10,4,10,6,8,5,5,5,6,6,16,23,6,21,9,6,11,20,5,9,20,11,6,7,15,6,20,12,4,22,10,11,10,6,4,15,17,13,8,13,12,14,21,3,10,5,8,5,4,12,17,12,8,14,13,2,6,10,5,16,7,7,11,8,11,10
"Gene41661",0,0,3,2,6,4,4,2,0,2,1,2,1,1,5,1,1,2,1,4,4,2,1,1,1,1,1,5,3,3,2,2,2,1,1,2,0,2,2,0,1,5,2,4,4,5,1,0,2,0,2,2,2,0,2,1,2,2,2,3,1,0,2,3,0,0,1,1,1,1,1,2,3,2,3,4,1,0,0,0,1,1,1,1,5,0,1,3,0,0,3,2,1,0,3,1,0,2,2,1,2,1,1,2,4,1,5,3,0,0,3,1,0,1,4,7,3,4,1,1
"Gene41662",2,0,0,0,1,1,1,2,1,0,0,0,4,0,2,2,1,2,3,0,2,2,2,1,2,1,0,1,0,1,1,0,2,1,3,0,2,0,1,0,2,0,1,0,0,2,2,1,1,0,2,0,0,0,2,1,2,1,2,1,1,1,0,1,2,0,0,0,2,0,2,0,1,2,2,1,0,0,0,1,3,0,1,0,1,2,0,1,1,5,1,1,1,1,0,2,2,0,0,0,0,2,2,0,1,0,1,1,0,1,2,1,0,0,1,1,0,2,0,1
"Gene41663",1,3,5,2,2,0,10,4,2,5,3,2,3,2,7,1,4,1,1,1,1,3,1,3,7,3,3,5,7,2,2,3,0,7,2,4,5,2,3,4,0,4,13,9,3,6,4,5,0,1,0,5,3,1,1,4,2,1,4,2,0,4,2,2,5,2,2,1,4,3,1,6,4,7,3,8,2,3,9,2,8,3,0,6,1,4,7,5,2,4,0,4,4,6,1,5,1,2,0,1,1,3,2,1,2,2,2,1,0,0,1,1,0,0,1,4,2,3,4,2
"Gene41664",4,3,7,2,2,3,10,1,7,2,5,2,2,9,8,3,5,3,6,3,2,4,2,8,11,3,12,4,7,8,8,8,7,3,6,3,3,14,0,6,6,1,1,10,7,11,2,10,1,1,2,7,12,4,1,4,5,6,2,1,10,5,6,11,11,12,2,9,12,3,3,7,3,8,18,7,7,18,11,4,4,8,5,9,2,7,5,2,8,11,8,5,8,7,7,1,9,6,5,10,6,6,7,6,3,4,10,2,2,5,5,2,5,5,11,1,9,8,7,7
"Gene41665",0,0,2,1,0,0,3,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2,1,1,2,1,0,0,1,0,0,2,0,1,0,1,1,1,1,0,2,0,0,3,1,1,2,0,0,2,2,0,0,2,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,1,3,2,1,1,0,0,2,0,0,0,3,0,0,0,0,3,3
"Gene41666",2,3,3,1,3,0,5,1,5,2,1,5,2,2,5,2,2,3,4,2,2,7,1,0,2,4,3,1,1,3,4,3,9,6,7,2,1,6,3,4,5,5,0,8,0,3,7,10,2,5,8,2,4,3,4,7,3,11,1,2,3,3,4,2,3,9,9,6,1,4,4,5,3,4,9,3,3,5,7,3,6,10,3,4,5,1,13,7,3,7,3,0,3,3,0,7,0,1,2,3,4,4,3,4,9,7,4,6,2,5,3,6,3,2,5,3,7,6,2,0
"Gene41667",6,6,15,3,1,2,6,11,4,8,10,3,7,9,12,5,4,8,9,4,14,6,14,2,5,4,17,17,0,13,5,14,6,6,8,3,5,9,8,16,4,9,4,10,8,7,7,8,6,16,2,5,6,3,3,16,2,2,4,6,2,6,6,2,7,2,2,2,5,8,3,7,3,5,2,12,4,5,1,6,4,3,6,6,2,5,3,5,2,4,6,8,4,2,4,4,0,11,1,9,7,5,0,6,8,9,5,9,3,12,3,12,9,8,6,5,14,6,6,3
"Gene41668",0,2,0,2,4,4,4,2,1,4,0,4,1,0,0,1,0,1,2,1,2,1,1,5,1,2,4,2,3,3,3,2,1,3,1,0,0,1,1,2,1,6,1,3,1,1,2,4,2,5,1,5,1,0,1,0,0,1,2,2,3,1,2,3,4,2,3,1,3,1,1,2,4,1,3,1,0,6,3,0,2,3,1,0,0,1,2,0,1,0,2,1,2,3,1,4,4,3,6,1,1,1,1,0,4,5,5,0,0,2,1,2,1,4,0,3,1,5,0,1
"Gene41669",7,2,6,4,1,2,1,1,3,2,1,3,3,3,4,3,1,1,0,1,4,2,1,1,3,2,0,0,2,5,1,3,3,5,3,1,6,8,0,1,5,6,2,4,4,2,4,6,2,5,3,3,3,3,7,4,3,1,3,2,6,3,2,2,2,2,1,1,4,3,4,3,4,4,6,3,3,1,7,4,2,5,3,3,3,1,6,4,3,0,2,4,5,1,2,4,2,1,0,1,4,4,1,3,1,1,6,2,1,6,2,5,1,2,2,5,4,4,0,3
"Gene41670",2,15,2,0,7,0,9,6,3,4,2,5,5,3,4,5,2,0,7,7,7,2,6,1,3,1,2,9,5,10,13,0,8,4,4,3,3,3,5,7,5,6,3,1,9,10,7,6,5,4,8,9,5,1,3,10,0,2,5,6,8,4,11,2,4,2,4,5,6,4,4,2,12,2,3,0,3,8,7,4,5,3,2,4,2,4,3,3,5,5,5,4,3,8,7,3,3,5,1,4,1,4,4,0,2,2,3,1,2,5,8,5,3,2,1,4,4,2,5,3
"Gene41671",2,3,6,7,3,3,6,6,1,5,3,4,9,3,5,7,2,8,3,3,1,3,4,5,3,4,5,6,10,1,11,4,4,7,16,7,4,10,6,10,6,11,7,6,5,11,3,13,7,10,1,4,6,7,6,3,5,10,5,8,4,8,5,3,5,6,4,12,3,2,2,10,5,6,8,6,4,5,4,7,8,5,2,5,4,5,4,5,4,7,2,3,2,2,2,6,5,4,4,1,2,5,3,1,2,6,3,4,2,4,7,3,5,6,4,4,1,5,5,1
"Gene41672",2,1,4,0,0,2,5,1,0,1,1,4,0,4,2,2,1,2,4,0,4,2,1,1,0,2,0,2,3,1,4,3,5,3,1,1,4,3,3,5,1,2,2,4,2,6,6,3,0,3,4,1,2,1,0,3,0,0,3,2,1,4,1,4,4,0,6,4,5,0,3,4,5,3,5,2,2,3,5,3,2,2,1,5,4,2,4,4,1,3,2,4,4,1,3,5,4,3,0,0,0,0,4,3,0,1,1,2,2,2,2,7,2,2,2,4,1,1,2,1
"Gene41673",0,1,4,2,4,0,2,4,1,5,2,1,2,2,4,3,0,2,5,2,1,1,1,2,2,0,0,3,0,2,2,1,2,2,1,0,0,0,3,2,2,4,1,5,1,0,1,3,1,4,1,2,0,2,0,4,1,4,2,2,5,6,4,3,1,2,1,1,4,1,1,4,0,5,1,2,1,4,2,1,1,2,3,1,0,1,2,1,2,0,1,1,1,5,1,2,1,1,3,1,3,1,0,4,3,2,3,1,0,0,0,5,1,3,2,5,0,3,1,0
"Gene41674",3,0,1,7,3,1,4,3,0,2,0,1,3,2,3,1,0,1,0,0,2,0,2,0,2,4,7,2,4,1,0,1,5,1,5,4,2,5,2,1,1,3,0,1,0,6,3,6,1,1,2,1,2,1,1,3,3,3,2,1,3,0,3,3,3,3,4,4,5,0,3,3,3,2,4,2,0,4,0,3,1,1,4,4,3,1,3,0,2,3,1,2,0,3,5,4,0,1,1,1,1,6,1,4,10,4,3,1,3,1,2,4,0,3,3,4,5,3,0,2
"Gene41675",3,2,4,0,3,0,3,3,1,2,2,2,1,2,2,0,2,1,3,4,2,3,1,3,1,0,2,2,8,5,2,3,2,2,0,3,6,7,1,5,1,5,1,0,0,3,3,1,1,1,1,1,2,3,2,2,1,1,4,1,3,6,3,4,2,2,3,2,1,2,5,2,2,5,3,3,3,5,6,1,2,3,3,6,4,7,5,2,2,5,4,1,0,0,1,2,0,2,1,2,1,2,2,0,4,1,3,1,1,3,1,2,3,1,2,1,1,0,1,1
"Gene41676",2,3,7,1,0,0,6,5,2,2,0,3,2,2,4,1,3,1,2,2,1,2,0,5,4,6,1,3,4,7,4,5,3,0,5,2,7,3,1,4,4,4,4,2,0,3,4,6,4,1,2,2,5,7,0,2,1,0,1,3,4,1,0,1,2,1,2,0,0,1,0,4,1,0,2,1,2,0,2,1,3,3,3,1,1,1,1,0,2,5,1,1,0,0,1,1,1,0,0,1,3,1,4,1,2,0,1,0,0,0,1,3,0,0,0,3,1,0,0,0
"Gene41677",0,2,1,1,1,1,0,3,1,0,1,1,1,0,0,0,0,1,1,2,2,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,2,1,1,1,2,1,0,2,0,0,1,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,1,1,0,0,0,2,0,0,1,2,1,0,0,0,2,2,0,0,0,0,3,0,0,0,1,0,3,1,0,1,0,1,2,0,0,0,0,0,1,1,2,0,0,0,0,2,2,1,0,0,3,0,0,0,1,0,1
"Gene41678",4,1,0,1,0,2,1,1,3,2,1,0,0,8,5,0,2,5,1,2,1,2,1,0,5,1,3,2,4,1,3,5,3,2,1,0,1,2,0,2,5,0,0,0,3,2,1,1,2,1,1,2,1,1,1,2,3,4,2,1,1,3,3,0,3,2,1,2,0,0,4,1,5,1,1,2,1,1,0,1,1,4,1,2,2,1,2,0,0,3,4,2,1,2,1,1,2,2,0,0,1,3,2,4,1,1,3,0,3,0,1,5,0,4,2,0,1,0,2,3
"Gene41679",2,2,3,3,3,0,0,3,1,3,0,2,2,0,0,2,1,3,1,7,7,2,5,3,2,1,2,4,0,1,2,2,7,6,1,3,4,3,3,0,2,4,5,10,1,0,1,3,0,1,3,2,3,2,2,4,2,5,6,3,3,3,5,4,2,2,2,1,2,4,2,2,1,1,7,4,0,1,1,2,4,2,2,3,3,3,5,1,5,1,2,1,0,1,2,9,0,2,2,4,0,6,1,1,3,0,6,1,1,1,2,1,0,3,0,2,2,1,0,3
"Gene41680",6,10,11,5,7,10,8,0,8,7,5,6,4,11,4,3,11,7,8,6,8,3,12,2,12,8,8,16,12,16,7,11,9,4,14,3,6,3,7,4,14,2,10,5,6,14,11,12,8,11,7,5,15,7,7,8,4,5,4,7,1,6,5,2,4,10,4,5,6,9,7,5,7,4,8,0,6,8,11,1,14,8,7,6,8,4,5,2,6,5,1,0,2,5,8,8,9,5,8,8,7,10,6,7,4,6,11,1,7,0,7,8,1,2,8,5,6,3,12,10
"Gene41681",4,10,12,12,4,22,13,11,9,8,0,2,9,18,10,11,7,8,3,3,5,6,4,7,16,8,6,4,1,10,20,6,6,7,15,3,12,5,15,11,14,7,14,12,6,1,6,20,2,16,12,8,18,9,7,13,6,13,6,25,17,15,15,7,11,7,15,10,12,9,7,10,8,6,11,9,4,25,11,10,9,1,8,8,7,4,19,9,9,18,6,5,2,4,8,10,5,4,2,2,4,2,7,12,2,8,16,5,8,5,3,6,4,1,7,4,9,5,4,6
"Gene41682",1,0,0,1,1,2,2,0,3,0,1,0,0,0,1,1,0,1,0,2,1,1,2,2,1,1,1,2,2,1,2,4,1,0,1,1,1,2,0,1,0,0,2,2,0,2,3,4,1,1,0,0,0,3,0,4,0,1,0,0,2,2,1,0,2,1,1,1,0,0,1,3,2,1,1,0,0,2,1,0,3,0,1,1,3,0,1,0,0,0,2,0,0,1,2,1,1,1,1,0,0,3,3,0,1,2,1,0,5,1,3,3,0,0,0,0,0,0,2,1
"Gene41683",13,12,11,8,10,7,15,17,10,8,5,19,24,10,5,10,22,5,8,24,8,4,11,11,14,6,15,19,9,25,12,4,19,10,22,17,10,16,14,15,16,7,9,17,8,9,19,29,15,18,8,8,8,4,15,9,4,14,14,8,14,29,22,18,4,8,13,15,26,12,6,13,13,15,16,11,16,16,26,8,27,11,8,11,7,15,22,13,20,16,10,14,15,8,4,18,19,8,3,3,8,17,13,17,9,9,32,10,13,16,13,7,11,12,4,15,16,18,13,16
"Gene41684",3,2,2,1,6,1,2,0,0,2,1,0,1,1,0,1,0,1,1,0,2,0,1,0,5,0,0,3,1,1,2,1,1,0,4,1,1,2,2,0,3,0,5,2,1,1,3,1,4,1,0,1,1,1,1,1,4,0,2,0,0,2,2,0,2,1,2,1,1,1,0,1,3,0,1,1,0,1,3,1,1,0,3,0,1,1,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,1,0,2,0,0,3,1,0,1,1,1,0,2,3,0,3,1,1,0
"Gene41685",4,3,2,1,2,5,2,4,5,5,3,7,6,5,4,3,2,2,3,3,6,0,0,3,0,2,1,2,7,5,5,3,6,3,9,2,0,6,0,2,4,11,4,5,3,1,4,12,3,2,4,3,6,6,2,3,4,2,3,1,7,4,0,9,6,8,7,2,1,2,2,2,9,5,5,5,7,2,3,5,5,9,3,8,4,5,10,1,2,5,4,8,4,1,3,4,3,4,3,3,0,1,1,3,10,2,5,2,6,3,2,4,2,3,1,5,1,2,5,0
"Gene41686",8,1,1,3,9,3,7,2,5,4,2,2,3,0,4,5,4,0,0,1,2,1,3,8,6,0,2,1,6,2,4,6,0,1,4,1,2,8,5,0,2,1,4,0,0,2,3,5,6,0,2,0,2,3,4,1,0,3,2,2,1,2,1,1,3,0,4,3,0,6,0,6,4,7,8,2,4,4,5,6,5,1,0,4,1,3,7,3,0,6,4,7,4,3,1,1,1,1,5,0,2,4,3,3,7,0,2,3,0,5,1,5,1,2,1,2,4,1,3,1
"Gene41687",3,3,2,3,2,0,2,3,2,2,0,5,5,1,6,1,4,0,5,0,5,5,1,1,4,2,2,3,7,2,1,0,0,2,3,2,0,2,1,1,2,0,0,3,2,1,2,0,1,2,0,0,0,0,0,1,1,3,2,1,2,3,3,1,1,2,1,2,2,1,3,4,1,1,2,1,1,0,3,4,0,1,1,3,0,1,4,0,0,4,2,3,3,0,1,3,5,0,2,0,0,3,1,1,0,2,8,2,2,1,1,2,2,0,0,1,3,1,1,4
"Gene41688",1,1,10,2,1,3,2,4,0,4,3,0,3,2,0,2,1,0,4,1,3,0,2,2,3,0,1,8,2,7,6,1,4,5,4,0,5,6,4,4,3,3,1,5,4,4,4,9,3,4,2,4,4,6,3,0,2,3,0,0,1,10,3,2,3,0,4,5,3,5,3,6,3,5,12,2,7,4,8,5,2,5,2,8,1,3,4,2,3,4,3,1,2,2,5,1,4,0,1,1,2,1,2,4,1,2,3,2,4,2,0,2,2,0,1,5,0,3,2,0
"Gene41689",1,1,0,0,3,0,3,2,0,1,0,2,3,1,5,0,2,1,1,1,0,1,1,0,0,1,2,1,0,3,2,1,5,2,1,2,0,4,2,0,2,5,1,3,1,3,2,4,0,1,2,3,1,1,0,3,1,1,2,0,1,1,1,1,1,2,1,1,3,1,2,1,1,0,1,0,2,0,1,0,0,1,0,0,0,0,2,0,1,2,0,0,1,1,2,1,1,1,1,1,1,1,1,2,0,1,1,1,0,0,0,1,1,0,0,2,1,1,0,1
"Gene41690",4,1,5,0,2,2,4,5,4,3,4,4,4,1,1,4,2,2,3,6,3,2,6,3,5,1,7,3,1,2,5,4,12,3,9,3,0,3,3,5,5,1,6,6,0,3,2,9,0,8,8,5,5,1,6,3,2,4,0,4,3,4,5,2,1,1,2,2,2,3,2,2,3,5,8,4,5,2,3,3,7,6,3,9,5,5,7,3,0,6,8,3,3,4,5,5,6,3,0,0,6,2,3,2,6,3,7,5,0,4,2,8,6,3,0,7,3,8,4,3
"Gene41691",5,3,7,7,12,5,5,6,3,7,8,10,12,4,4,7,6,1,9,16,8,9,7,18,6,8,2,5,8,4,3,1,10,8,13,4,2,12,7,9,5,10,7,6,3,6,10,6,15,6,1,11,7,7,13,6,4,15,3,11,4,11,5,5,11,5,14,5,4,8,2,1,6,6,9,8,3,10,13,2,13,2,4,11,6,6,14,1,5,10,11,13,5,10,4,8,4,6,10,1,3,10,5,4,14,5,10,6,4,3,12,7,7,3,12,8,5,5,6,4
"Gene41692",6,11,8,4,3,6,6,10,6,14,9,4,6,15,9,8,7,9,8,9,6,4,9,7,5,5,3,9,10,8,11,4,5,1,4,9,5,7,4,8,3,4,6,4,7,2,7,7,2,3,3,5,14,6,4,6,2,2,8,11,9,10,5,8,6,9,1,9,5,4,6,9,10,8,6,2,7,7,13,9,4,6,8,8,7,7,10,2,1,14,10,2,5,4,5,2,2,5,2,3,1,4,2,2,13,2,14,3,4,0,2,10,4,7,3,5,2,4,2,7
"Gene41693",5,6,6,2,2,1,14,8,3,4,3,3,4,3,10,1,2,7,8,1,5,5,3,5,6,5,8,4,1,4,7,5,1,2,7,0,2,5,2,7,4,3,2,3,4,4,2,5,4,9,5,0,5,3,4,6,4,5,5,2,4,8,6,3,7,8,3,1,9,3,2,4,3,8,11,4,3,3,5,7,4,3,1,4,3,8,4,4,3,14,5,10,6,6,4,7,10,5,2,6,7,3,3,3,7,3,6,2,5,8,2,9,3,8,9,1,1,4,5,7
"Gene41694",7,2,6,2,0,1,6,3,2,4,2,2,5,2,3,4,5,3,4,2,4,0,2,1,1,1,3,3,3,5,1,4,11,10,4,6,2,4,2,1,5,4,11,9,5,2,4,10,2,6,1,3,6,3,4,4,3,7,5,8,4,9,6,3,9,3,5,6,7,3,4,5,4,4,9,7,4,14,6,4,8,4,5,5,2,4,4,3,6,5,3,2,4,5,2,12,4,4,9,3,2,4,4,5,8,5,5,4,6,5,5,3,1,8,5,6,3,2,5,4
"Gene41695",4,4,11,4,10,10,7,9,8,11,5,8,8,9,17,2,3,9,7,9,7,9,1,5,20,6,6,9,11,14,7,8,7,4,15,9,13,19,5,7,2,5,8,7,10,5,9,10,6,13,11,7,5,4,3,11,6,7,7,9,2,10,4,9,14,7,5,13,6,7,7,8,3,7,8,10,8,9,8,6,19,18,10,6,4,5,6,3,9,6,6,5,6,7,4,11,12,8,2,5,6,7,3,7,7,10,8,5,7,8,5,13,6,15,6,12,15,8,4,3
"Gene41696",11,6,17,10,4,13,13,7,11,6,6,5,13,8,12,3,5,6,10,9,10,7,10,8,4,3,16,13,12,14,15,7,8,7,8,3,3,9,8,4,5,7,13,4,2,8,3,12,7,2,5,7,3,3,4,4,6,4,7,5,11,10,10,8,10,4,5,10,7,5,1,5,5,2,5,14,8,7,11,3,5,7,6,7,7,6,10,2,5,7,7,11,4,6,11,16,11,9,7,5,4,11,4,6,5,3,7,2,5,10,6,12,5,9,5,9,8,6,4,9
